ticker,snapshot_date,market_cap,beta,open_price,high,low,close_price,adjusted_close,volume,ema_50d,ema_200d,hi_250d,lo_250d,avgvol_14d,avgvol_50d,avgvol_200d
DRO,2025-05-07,1377084032,0.819,1.285,1.29,1.205,1.28,1.28,11387775,1.04,0.936,2.6,0.59,12837500.0,13243600.0,13399200.0
DRO,2025-05-08,1377084032,0.819,1.29,1.315,1.22,1.24,1.24,7332935,1.047,0.939,2.6,0.59,11608000.0,13017300.0,13270200.0
DRO,2025-05-09,1377084032,0.819,1.24,1.38,1.2325,1.355,1.355,19263209,1.06,0.943,2.6,0.59,12142100.0,13021500.0,13198800.0
DUR,2025-05-05,369751360,0.521,1.64,1.6975,1.62,1.64,1.64,185641,1.628,1.494,1.76,0.937,226522.0,337031.0,339411.0
DUR,2025-05-06,369751360,0.521,1.63,1.67,1.58,1.65,1.65,619839,1.629,1.495,1.76,0.957,253934.0,320309.0,340893.0
DUR,2025-05-07,369751360,0.521,1.655,1.655,1.555,1.555,1.555,455512,1.626,1.496,1.76,0.957,245603.0,320827.0,342199.0
DUR,2025-05-08,369751360,0.521,1.595,1.625,1.585,1.6,1.6,509968,1.625,1.497,1.76,0.995,274503.0,326591.0,343609.0
DUR,2025-05-09,369751360,0.521,1.605,1.61,1.58,1.585,1.585,65639,1.624,1.469,1.76,0.995,261044.0,324956.0,342264.0
ECL,2025-05-05,93072344,0.113,3.21,3.25,3.2,3.24,3.24,2010,3.171,3.023,3.3,2.569,6392.14,5485.94,7827.1
ECL,2025-05-06,93072344,0.113,3.2,3.2,3.2,3.2,3.2,92,3.172,3.025,3.3,2.569,3206.07,5478.38,7807.83
ECL,2025-05-09,93072344,0.113,3.26,3.26,3.2,3.2,3.2,300,3.174,0.0,0.0,0.0,3119.21,5480.38,0.0
EGL,2025-05-05,95124496,0.406,0.23,0.235,0.23,0.2325,0.2325,83945,0.239,0.275,0.41,0.195,240607.0,568011.0,443352.0
EGL,2025-05-06,95124496,0.406,0.235,0.24,0.23,0.24,0.24,129886,0.239,0.274,0.41,0.195,248768.0,401724.0,443780.0
EGL,2025-05-07,95124496,0.406,0.24,0.26,0.24,0.24,0.24,2673156,0.24,0.274,0.41,0.195,412893.0,429072.0,455275.0
